,,,,,,,,,2015 Base Runs,,,2016 Base Runs,,,,,,,Starting Pitcher,,,,Win Percentage,,,,Win Expectancy Calc,,,,,,,,,,,,,,
,,,,,,,,,G,BR Scored,BR Allowed,G,BR Scored,BRS/G,BR Allowed,BRA/G,SIERA Avg.,Team,IP,SIERA,SIERA Adj.,Pitcher,BR Scored,BR Allowed,BR SIERA,Win%,Bottom,Top,AVG,Win Exp.,Lines,Implied Odds,Edge,Units,TeamRNK,,Net RNK,,,,
Tue 5/31,,901 Washington Nationals J Ross - R,  -1_ +140, -120 Listed , o7 -110 ,,,,162,703.44,621.9,51,225.42,4.42,170.34,3.34,3.5444,Nationals,53.2,4.21,0.6656,Joe Ross,712.26,565.326,95.8464,0.533998445,0.502550901,0.496247064,0.499398982,0.499398982,-120,0.545454545,-4.605556301, ,,3,24,A,,,
7:05PM,,902 Philadelphia Phillies A Nola - R,  +1_ -160 , +110 Listed , u7 -110 ,,,,162,607.08,824.76,50,163,3.26,206,4.12,3.512752828,Phillies,66,2.77,-0.742752828,Aaron Nola,551.808,714.636,-106.9564073,0.455989416,0.497449099,0.503752936,0.500601018,0.500601018,110,0.476190476,2.441054137,1 Unit Phillies,,27,-24,H,LOSS,,
Tue 5/31,,903 Pittsburgh Pirates G Cole - R,  +1_ -200, +130 Listed , o7 +105 ,,,,162,693.31,598.28,49,256.76,5.24,242.55,4.95,4.47334295,Pirates,53.1,4.18,-0.29334295,Gerrit Cole,802.209,740.814,-42.24138478,0.562950188,0.395847871,0.405351891,0.400599881,0.400599881,130,0.434782609,-3.418272772, ,,16,-6,A,,,
7:10PM,,904 Miami Marlins J Fernandez - R,  -1_ +170 , -140 Listed , u7 -125 ,,,,162,612.66,655.5,50,224,4.48,203.5,4.07,4.432346209,Marlins,60.2,2.77,-1.662346209,Jose Fernandez,691.83,658.188,-239.3778541,0.714740098,0.604152129,0.594648109,0.599400119,0.599400119,-140,0.583333333,1.606678569,1 Unit Marlins,,10,6,H,WIN,,
Tue 5/31,,905 San Francisco Giants J Peavy - R,  -1_ +120, -145 Listed , o8 -110 ,,,,162,702.9,639.3,52,229.84,4.42,215.28,4.14,3.797504537,Giants,48.1,4.57,0.772495463,Jake Peavy,712.098,661.266,111.2393466,0.46281757,0.541382396,0.529325745,0.535354071,0.535354071,-145,0.591836735,-5.648266402, ,,8,21,A,,,
7:10PM,,906 Atlanta Braves M Wisler - R,  +1_ -140 , +135 Listed , u8 -110 ,,,,162,572.16,766.32,49,147.98,3.02,224.91,4.59,4.430965018,Braves,60.1,4.33,-0.100965018,Matt Wisler,514.116,750.402,-14.53896261,0.341587219,0.458617604,0.470674255,0.464645929,0.464645929,135,0.425531915,3.911401443,2 Units Braves,,29,-21,H,LOSS,,
Tue 5/31,,907 Los Angeles Dodgers S Kazmir - L,, +207 Listed ,,,,,162,714.06,592.74,51,205.02,4.02,169.83,3.33,3.345292936,Dodgers,57.2,3.91,0.564707064,Scott Kazmir,670.086,555.444,81.31781721,0.523320321,0.372684166,0.385619846,0.379152006,0.379152006,207,0.325732899,5.341910696,2 Units Dodgers,,5,-4,A,WIN,X,
8:05PM,,908 Chicago Cubs J Arrieta - R,, -227 Listed ,,,,,162,699.06,606.9,48,255.84,5.33,144,3,3.599977302,Cubs,68,3.3,-0.299977302,Jake Arrieta,814.14,522.27,-43.19673152,0.725201251,0.627315834,0.614380154,0.620847994,0.620847994,-227,0.694189602,-7.334160843, ,,1,4,H,,,
Tue 5/31,,909 St. Louis Cardinals M Leake - R,  -1_ +105, -150 Listed , o9 -115 ,,,,162,669.06,591.03,51,266.73,5.23,206.04,4.04,4.140286086,Cardinals,62.1,4.22,0.079713914,Mike Leake,793.8,635.445,11.47880364,0.592527425,0.571151962,0.554685005,0.562918484,0.562918484,-150,0.6,-3.70815163, ,,2,23,A,,,
8:05PM,,910 Milwaukee Brewers W Peralta - R,  +1_ -125 , +140 Listed , u9 -105 ,,,,162,647.16,742.92,50,217.5,4.35,268,5.36,4.526334183,Brewers,51.2,4.85,0.323665817,Wily Peralta,687.438,830.7,46.60787768,0.390237975,0.428848038,0.445314995,0.437081516,0.437081516,140,0.416666667,2.041484963,1 Unit Brewers,,25,-23,H,LOSS,,
Tue 5/31,,913 Texas Rangers C Lewis - R,  +1_ -150, +155 Listed , o7_ -110 ,,,,162,735.84,747.72,50,213,4.26,226,4.52,4.519594687,Rangers,64,4.4,-0.119594687,Colby Lewis,703.836,736.884,-17.22163488,0.489828072,0.40449789,0.412720425,0.408609158,0.408609158,155,0.392156863,1.645229507,1 Unit Rangers,,18,-3,A,WIN,X,
